Var1,Weighted
ALDH1L1-AS1,-0.494916650900754
PADI2,-0.494772151548113
MRPS26,-0.494752521842089
STMN2,-0.494697142940545
RP1-65P5.3,-0.494544660458487
ZNF598,-0.494528092042052
PABPC1,-0.494501062803427
CRTC2,-0.494488643089289
RP11-109P14.9,-0.494479499567803
ZIC2,-0.494465071377351
RCSD1,-0.494389344995483
HMG20B,-0.494312493649157
TMEM88,-0.494276232126092
CRMP1,-0.49424399282764
INA,-0.494205192793464
ATAT1,-0.494152874190818
SNX5,-0.494055820811456
RFTN2,-0.49403423008521
YBX1P1,-0.494029158705647
SASH1,-0.493849405463669
PSMC3,-0.493796689523182
AC093495.4,-0.49367065975815
CNRIP1,-0.493580350359558
FBXO44,-0.493495877896203
PCDH12,-0.493473655934082
RTEL1,-0.493402656355889
HAUS4,-0.493365738714497
FAM189A2,-0.4933503638375
CHST9,-0.493340559197393
CAPG,-0.493334220276953
WSB2,-0.493318581358637
CD300A,-0.493318454182498
APOL2,-0.49329824775004
C16orf74,-0.493286279572329
EPDR1,-0.493248157002894
VDAC1P1,-0.493238270577888
ANKRD13B,-0.493225529472852
HIPK3,-0.493215372739793
OAS2,-0.493214942179567
TUBB2B,-0.493185579670862
DNAJC1,-0.493117948453791
RUNDC3A,-0.493056070517071
STXBP3,-0.493008312686073
GAB1,-0.492976451677669
PKN3,-0.492976381160363
DLL4,-0.492959264357489
RAB1C,-0.49294256985634
ITPKA,-0.492902817445522
RP11-12D5.5,-0.492894696295975
FEM1C,-0.492869027918346
CCDC9,-0.492671921042797
C19orf42,-0.492537025238398
TOM1,-0.49253465025377
CRISPLD1,-0.492393359261212
GOT2,-0.492376456955534
ILF2,-0.492316347109265
HIATL1,-0.492293654368624
FDXR,-0.492269332601015
TMEM170A,-0.492186437300923
STAT5B,-0.492149954940122
DNAJA3,-0.492138985130957
NFKB2,-0.492089330626823
YME1L1,-0.49207876245121
CBLN4,-0.492044645058802
RP5-1052M9.1,-0.492041632089813
PDCD4,-0.49201772978362
COL20A1,-0.49200728136661
FAM32A,-0.491954689851365
DGUOK,-0.491915707175429
SLC16A9,-0.491846797048711
SMTN,-0.491734024309737
DUSP26,-0.491638486669762
CDA,-0.491606814254859
AC092143.1,-0.491602444353464
RP11-300E4.2,-0.491599260599185
SEPT3,-0.491509205123181
MTDH,-0.491425777320867
COX6A1P2,-0.491392529223312
C9orf167,-0.49138451349423
PRRT2,-0.491371366334025
FLT3LG,-0.491324153941128
AHSA1,-0.491323220159529
ATP5C1,-0.491309122265247
ACTL6B,-0.491242995415342
KIF1C,-0.491241365871537
LDB1,-0.491238756482476
CEBPA,-0.491235012288636
ARPC1B,-0.491196915157647
